instrument_token,tradingsymbol,name,exchange
50948356,IVZGOLDINAV,INAV INVESCINDGOLXCHANGER,BSE
50948612,HDFCETFINAV,INAVHDFCMUTUAL-HDFC GOLD E,BSE
50948868,ICICIGDINAV,INAVICICI PRUDENTIAL GOLD ETF,BSE
50949124,MON100INAV,INAVMOTILALOSWALMOSTSHARNASD,BSE
50949380,BSLGOLDINAV,INAVADITYABIRLASUNLIFMUTUAL,BSE
50949636,AXISGOLDINV,INAVAXIS MUTUAL AXIS GOLD E,BSE
50949892,IDBIGDINAV,INAVIDBI MUTUAL - IDBI GOLD E,BSE
50950148,ICICISINAV,INAVICICI PRUDENTIMUTUAL FUND,BSE
50950404,GOLDBSINAV,INAVNIPPON INDI ETFGOLDBEES,BSE
50950660,KOTAKGDINAV,INAVKOTAK MAHINDRA MUTUAL,BSE
50950916,SBIGETSINAV,INAVSBI MUTUAL GOLD EXC,BSE
50951172,QGOLDLFINV,INAVQUANTUM GOLDEXCHANGE T,BSE
50951428,GOLDSHAINV,INAVUTI  GOLD EXC,BSE
50951684,HNGSNGINAV,INAVNIPPONETF HANG SENG BEE,BSE
50951940,SILVERINAV,INAVADITYA BIRSUNLIFEMUTUAL,BSE
50952196,KTKSENSINAV,INAV KOTAK SENSEX ETF,BSE
50952452,SBISENSINAV,INAV- SBI ETF SENS,BSE
50952708,MOM100INAV,INAV - MOTILAL OSWAL MOST S,BSE
50952964,ICICINIINAV,INAV ICICIPRUDENTIAL NIFTY,BSE
50953220,ICICINFINAV,INAV ICICI PRUDENTIALNIFT,BSE
50953476,NIF100BINAV,INAV NIPPON INDIA ETF NIFTY,BSE
50953732,KOTAKNIINAV,INAV  - KOTAK NIFTY ETF,BSE
50953988,CPSEETFINAV,INAV- CPSE ETF,BSE
50954244,SENSEXBINAV,INAV NIPPO INDIA ETF SENSE,BSE
50954500,SETFBSEINAV,INAV - SBI ETF BSE 100,BSE
50954756,UTISENSINAV,INAV UTI- SENSEX ETF,BSE
50955012,UTINIFTINAV,INAV UTI NIFTY ETF,BSE
50955268,LICE50INAV,INAV -LIC MF ETF NIFTY 50,BSE
50955524,LICETFINAV,INAV -LIC MF ETF- SENSEX,BSE
50955780,HDNIFINAV,INAV HDFC NIFTY ETF,BSE
50956036,SXETFINAV,INAV HDFC SENSEX ETF - OPEN,BSE
50956292,LICFNHINAV,INAV -LIC MF ETF NIFTY 100,BSE
50956548,ICICINVINAV,INAV ICICI PRUDENTIAL NV20,BSE
50956804,ICICIMCINAV,INAV ICICI PRUDNTIAL MIDCA,BSE
50957060,BSLSENEINAV,INAV BIRLA SUN LIFE SENSEX,BSE
50957316,IDFSENSINAV,INAV IDFC SENSEX ETF,BSE
50957572,ICICILOINAV,INAV ICICI PRUDENTIL NIFTY,BSE
50957828,UTINEXTINAV,INAV UTI NIFTY NEXT 50 ETF,BSE
50958084,ICICIB2INAV,INAV BHARAT 22 ETF,BSE
50958340,LIQUIDEINAV,,BSE
50958596,ICICI50INAV,INAV ICICI PRUDENTIAL S&P B,BSE
50958852,ICICINXINAV,INAV ICICIPRUDENTIALNIFTY,BSE
50959108,ICICILIINAV,,BSE
50959364,SETFSN5INAV,INAV SBI - ETF - SENSEX NEX,BSE
50959620,MAN50ETINAV,INAV MIRAE ASSET NIFTY 50 E,BSE
50959876,ABSLNN5INAV,INAV ADITYA BIRLASUN LIFE,BSE
50960132,UTISXN5INAV,INAV UTI S&P BSE SENSEX NEX,BSE
50960388,ICICIPBINAV,INAV ICICI PRUDENTIAL BANK,BSE
50960644,SNXT50BINAV,INAV NIPPON INDIA ETF SENSE,BSE
50960900,ICICIBAINAV,INAV ICICI PRUDENTIAL PRIVA,BSE
50961156,ABSLBANINAV,INAV ADITYA BIRLA SUN LIFE,BSE
50961412,EBBET0INAV,,BSE
50961668,EBETF0INAV,,BSE
50961924,ICICIM1INAV,INAV ICICI PRUDENTIAL MIDCA,BSE
50962180,MANXT50INAV,INAV MIRAE ASSET NIFTY NEXT,BSE
50962436,EBBETAINAV,,BSE
50962692,EBBETF0INAV,,BSE
50962948,ICICIALINAV,INAV ICICI PRUDENTIAL ALPH,BSE
50963204,ICICITEINAV,INAV ICICI PRUDENTIAL IT ET,BSE
50963460,HBANKETINAV,INAV HDFC BANKING ETF,BSE
50963716,UTIBANKINAV,INAV UTI BANK EXCHANGE TRAD,BSE
50963972,MAESGETINAV,INAV MIRAE ASSET ESG SECTOR,BSE
50964228,MOGSECINAV,,BSE
50964484,INFRABEINAV,INAV NIPPON INDIA  ETF INFR,BSE
50964740,MAFANGINAV,INAV MIRAE ASSET NYSE FANG+,BSE
50964996,ICICIPHINAV,INAV ICICI PRUDENTIAL HEALT,BSE
50965252,MAFSETFINAV,INAV MIRAE ASSET NIFTY FINA,BSE
50965508,ICICIFMINAV,INAV ICICI PRUDENTIAL FMCG,BSE
50965764,AXISTECINAV,INAV AXIS TECHNOLOGY ETF,BSE
50966020,AXISHETINAV,INAV AXIS HEALTHCARE ETF,BSE
50966276,AXISCETINAV,INAV AXIS CONSUMPTION ETF,BSE
50966532,MASPTOPINAV,INAV MIRAE ASSET S&P 500 TO,BSE
50966788,ICICICOINAV,INAV ICICI PRUDENTIAL CONSU,BSE
50967044,DSPNEWEINAV,INAV DSP NIFTY 50 EQUAL WEI,BSE
50967300,MAHKTECINAV,INAV MIRAE ASSET HANG SENG,BSE
50967556,BBETF04INAV,,BSE
50967812,MONQ50INAV,INAV MOTILAL OSWAL NASDAQ Q,BSE
50968068,DSPQ50EINAV,INAV DSP NIFTY MIDCAP 150 Q,BSE
50968324,DSPN50INAV,INAV DSP NIFTY 50 ETF,BSE
50968580,ICICIAUINAV,INAVICICI PRUDENTIALNIFTY,BSE
50968836,MAMFGETINAV,INAV MIRAE ASSET NIFTY INDI,BSE
50969092,MOMOMENINAV,INAV MOTILAL OSWAL NIFTY 20,BSE
50969348,TECHINAV,INAV ADITYA BIRLA SUNLIFE N,BSE
50969604,HEALTHYINAV,INAV ADITYA BIRLA SUNLIFE,BSE
50969860,BSLNIFTINAV,INAV ADITYABIRLA SUN LIFE,BSE
50970116,ICICI5GINAV,,BSE
50970372,MAM150EINAV,INAV MIRAE ASSET NIFTY MIDC,BSE
50970628,MOLOWVOINAV,INAV MOTILAL OSWAL S&P BSE,BSE
50970884,ICICSENNAV,INAV ICICI PRUDENTIAL SENSE,BSE
50971140,LIQUIDBINAV,,BSE
50971396,NIFTYBEINAV,INAV NIPPONINDIA ETF NIFTY,BSE
50971652,JUNIORBINAV,INAV NIPPON INDIA ETF JUNIO,BSE
50971908,BANKBEEINAV,INAV NIPPON INDIA ETF BANK,BSE
50972164,KOTAKPSINAV,INAV KOTAK PSU BK ETF,BSE
50972420,PSUBNKBINAV,INAV NIPPON INDIA ETF PSU B,BSE
50972676,SHARIABINAV,INAV NIPPON INDIA ETF SHARI,BSE
50972932,QNIFTYINAV,INAV QUANTUM INDX ETF,BSE
50973188,MOM50INAV,INAV MOTILAL OSWAL M50 ETF,BSE
50973444,KOTAKBKINAV,INAV KOTAK BANKING ETF - DI,BSE
50973700,SETFNIFINAV,INAV SBI-ETF NIFTY BANK,BSE
50973956,SETFN50INAV,INAV SBI-ETF NIFTY 50,BSE
50974212,MOHEALTINAV,INAVMOTILALOSWS&PBSEHEALTHCETF,BSE
50974468,ICMOM30INAV,INAVICICIPRUNI200MOMETF,BSE
50974724,HDFF100INAV,INAVHDFC NIFTY 100 ETF,BSE
50974980,HDFNX50INAV,INAV HDFC NIFTY NEXT 50 ETF,BSE
50975236,ICICINFNAV,INAV ICICI PRU NIFTY INFRA ETF,BSE
50975492,DSPSILINAV,INAVDSPSILVERETF,BSE
50975748,NIFQTYINAV,INAV ABSL NIFTY 200 QTY 30 ETF,BSE
50976004,MOM30INAV,INAV ABSL NIFTY 200 MOM 30 ETF,BSE
50976260,MOQUALTINAV,INAV MO S&P BSE QUALITY ETF,BSE
50976516,MOVALUEINAV,INAV MO S&P BSE EN VALUE ETF,BSE
50976772,HDFCSIINAV,INAVHDFCSILVERETF,BSE
50977028,HDFQUALINAV,INAVHDFCQUALETF,BSE
50977284,HDFGROWINAV,INAVHDFCGROWETF,BSE
50977540,HDFVALUINAV,INAV HDFCVALUEETF,BSE
50977796,HDFMOMEINAV,INAVHDFCMOMENT,BSE
50978052,HDFCLOLINAV,INAVHDFCLOWVOL,BSE
50978308,HDFCBANINAV,INAVHDFCPVTBAN,BSE
50978564,HDFCNITINAV,INAVHDFCNIFIT,BSE
50978820,ICICINAV,INAVICICI PRUDENTIAL MUTUAL,BSE
50979076,EBBEINAV,,BSE
50979332,ICIC01INAV,,BSE
50979588,ICIC02INAV,INAVICICI PRUDENTIAL MUTUAL 02,BSE
50979844,DSPBINAV,INAVDSP MUTUAL FUND,BSE
50980100,HDFCINAV,INAVHDFC MUTUAL FUND,BSE
50980356,HDFC01INAV,INAVHDFC MUTUAL FUND01,BSE
50980612,HDFC02INAV,INAVHDFC MUTUAL FUND02,BSE
50980868,MAGOINAV,INAVMIRAE ASSET MUTUAL FUND,BSE
50981124,PSUBINAV,INAVICICI PRUDENTIAL MUTUAL,BSE
50981380,ABSLINAV,,BSE
50981636,AXISINAV,INAVAXIS MUTUAL FUND,BSE
50981892,MANVINAV,INAVMIRAE ASSET MUTUAL FUND,BSE
50982148,MAGSINAV,,BSE
50982404,SILVINAV,INAVUTI MUTUAL FUND,BSE
